date,Lemma_lower,count
1918-01-01,berlin,108
1918-01-01,uhr,103
1918-01-01,groß,79
1918-01-01,neu,65
1918-01-01,ver,55
1918-01-01,deutsch,54
1918-01-01,gut,52
1918-01-01,eee,49
1918-01-01,mehr,43
1918-01-01,ber,40
1918-01-01,fich,39
1918-01-01,ganz,35
1918-01-01,geben,35
1918-01-01,müssen,33
1918-01-01,alt,31
1918-01-01,gen,31
1918-01-01,hoch,29
1918-01-01,immer,29
1918-01-01,krieg,28
1918-01-01,berliner,27
1918-01-01,find,27
1918-01-01,wer,27
1918-01-01,erster,26
1918-01-01,mann,26
1918-01-01,heute,25
1918-01-01,dis,23
1918-01-01,fein,23
1918-01-01,finden,23
1918-01-01,tag,23
1918-01-01,mark,21
1918-01-01,lassen,19
1918-01-01,weit,19
1918-01-01,bleiben,18
1918-01-01,gehen,18
1918-01-01,land,18
1918-01-01,sehen,18
1918-01-01,bringen,16
1918-01-01,dex,16
1918-01-01,sollen,15
1918-01-01,dürfen,14
1918-01-01,kommen,14
1918-01-01,stehen,14
1918-01-01,deutschland,13
1918-01-01,teil,13
1918-01-01,mensch,12
1918-01-01,nehmen,12
1918-01-01,schon,12
1918-01-01,zwei,12
1918-01-01,halten,11
1918-01-01,regierung,11
1918-01-01,führen,10
1918-01-01,kampf,9
1918-01-01,stellen,7
1918-01-01,tot,7
1918-01-01,kreis,6
1918-01-01,ten,6
1918-01-02,deutsch,28
1918-01-02,müssen,19
1918-01-02,ganz,17
1918-01-02,groß,16
1918-01-02,berlin,15
1918-01-02,deutschland,14
1918-01-02,regierung,14
1918-01-02,eee,13
1918-01-02,ber,12
1918-01-02,fein,12
1918-01-02,fich,12
1918-01-02,krieg,12
1918-01-02,uhr,12
1918-01-02,bringen,11
1918-01-02,dis,11
1918-01-02,geben,11
1918-01-02,nehmen,11
1918-01-02,neu,11
1918-01-02,wer,11
1918-01-02,kampf,10
1918-01-02,lassen,10
1918-01-02,mark,10
1918-01-02,kommen,9
1918-01-02,mehr,9
1918-01-02,teil,9
1918-01-02,weit,9
1918-01-02,finden,8
1918-01-02,gut,8
1918-01-02,alt,7
1918-01-02,erster,7
1918-01-02,gehen,7
1918-01-02,halten,7
1918-01-02,sollen,7
1918-01-02,find,6
1918-01-02,land,6
1918-01-02,stehen,6
1918-01-02,dürfen,5
1918-01-02,führen,5
1918-01-02,tag,5
1918-01-03,berlin,86
1918-01-03,groß,53
1918-01-03,fein,50
1918-01-03,eee,43
1918-01-03,müssen,42
1918-01-03,fich,39
1918-01-03,dis,37
1918-01-03,neu,35
1918-01-03,deutsch,32
1918-01-03,ber,30
1918-01-03,ganz,29
1918-01-03,gut,28
1918-01-03,uhr,28
1918-01-03,geben,23
1918-01-03,gen,23
1918-01-03,regierung,22
1918-01-03,finden,21
1918-01-03,weit,21
1918-01-03,heute,20
1918-01-03,tag,20
1918-01-03,ten,20
1918-01-03,nehmen,19
1918-01-03,find,18
1918-01-03,krieg,18
1918-01-03,mark,18
1918-01-03,ver,18
1918-01-03,alt,17
1918-01-03,erster,16
1918-01-03,mehr,16
1918-01-03,teil,16
1918-01-03,zwei,16
1918-01-03,dürfen,15
1918-01-03,land,15
1918-01-03,sehen,15
1918-01-03,lassen,14
1918-01-03,dex,13
1918-01-03,gehen,13
1918-01-03,berliner,12
1918-01-03,mann,12
1918-01-03,sollen,12
1918-01-03,bringen,11
1918-01-03,immer,11
1918-01-03,kommen,11
1918-01-03,stehen,11
1918-01-03,wer,10
1918-01-03,halten,9
1918-01-03,schon,9
1918-01-03,führen,8
1918-01-03,stellen,8
1918-01-03,deutschland,7
1918-01-03,hoch,7
1918-01-03,kampf,7
1918-01-03,bleiben,5
1918-01-04,berlin,91
1918-01-04,groß,45
1918-01-04,dis,42
1918-01-04,eee,38
1918-01-04,ber,35
1918-01-04,fich,31
1918-01-04,gut,31
1918-01-04,sollen,30
1918-01-04,müssen,29
1918-01-04,uhr,29
1918-01-04,dex,28
1918-01-04,ganz,28
1918-01-04,neu,27
1918-01-04,alt,26
1918-01-04,tag,26
1918-01-04,find,24
1918-01-04,kommen,24
1918-01-04,nehmen,24
1918-01-04,fein,22
1918-01-04,ver,22
1918-01-04,weit,22
1918-01-04,finden,20
1918-01-04,stehen,20
1918-01-04,lassen,18
1918-01-04,regierung,18
1918-01-04,deutsch,17
1918-01-04,gen,17
1918-01-04,berliner,16
1918-01-04,land,16
1918-01-04,krieg,15
1918-01-04,erster,14
1918-01-04,geben,14
1918-01-04,gehen,14
1918-01-04,heute,14
1918-01-04,wer,14
1918-01-04,mann,13
1918-01-04,bringen,12
1918-01-04,führen,12
1918-01-04,mark,12
1918-01-04,mehr,12
1918-01-04,teil,12
1918-01-04,halten,11
1918-01-04,kampf,9
1918-01-04,schon,9
1918-01-04,zwei,9
1918-01-04,bleiben,8
1918-01-04,hoch,8
1918-01-04,ten,8
1918-01-04,kreis,7
1918-01-04,immer,6
1918-01-04,sehen,6
1918-01-04,stellen,6
1918-01-04,dürfen,5
1918-01-05,berlin,64
1918-01-05,müssen,33
1918-01-05,groß,31
1918-01-05,neu,28
1918-01-05,ber,26
1918-01-05,fein,26
1918-01-05,deutsch,25
1918-01-05,tag,22
1918-01-05,fich,21
1918-01-05,gen,21
1918-01-05,regierung,20
1918-01-05,eee,19
1918-01-05,sollen,19
1918-01-05,ver,19
1918-01-05,ganz,18
1918-01-05,gut,18
1918-01-05,wer,18
1918-01-05,erster,17
1918-01-05,geben,17
1918-01-05,land,17
1918-01-05,uhr,17
1918-01-05,berliner,16
1918-01-05,finden,16
1918-01-05,kommen,16
1918-01-05,weit,16
1918-01-05,zwei,15
1918-01-05,find,14
1918-01-05,gehen,14
1918-01-05,lassen,14
1918-01-05,mehr,13
1918-01-05,schon,13
1918-01-05,stehen,13
1918-01-05,mann,12
1918-01-05,halten,11
1918-01-05,heute,11
1918-01-05,stellen,11
1918-01-05,deutschland,10
1918-01-05,dex,10
1918-01-05,immer,10
1918-01-05,sehen,10
1918-01-05,alt,9
1918-01-05,dis,9
1918-01-05,mark,9
1918-01-05,nehmen,9
1918-01-05,ten,9
1918-01-05,dürfen,7
1918-01-05,krieg,7
1918-01-05,täglich,7
1918-01-05,bleiben,6
1918-01-05,bringen,5
1918-01-06,berlin,70
1918-01-06,uhr,66
1918-01-06,groß,62
1918-01-06,deutsch,58
1918-01-06,eee,50
1918-01-06,müssen,46
1918-01-06,neu,44
1918-01-06,gut,43
1918-01-06,berliner,36
