lemma,count
berlin,58109
groß,36937
deutsch,35064
uhr,31585
müssen,29935
neu,27313
gut,24437
ver,21210
eee,20316
sollen,20047
ganz,17917
kommen,17219
fich,17196
suchen,16642
geben,16491
mehr,16425
ber,16394
wer,16004
fein,15837
regierung,15803
tag,15674
alt,14872
krieg,14628
dis,14394
find,14215
herr,14114
berliner,13963
frau,13914
weit,13817
mark,13550
finden,13442
straße,13406
nehmen,13258
deutschland,12943
erster,12665
een,12650
mann,12527
stehen,12403
lassen,12376
dex,11943
heute,11927
gehen,11704
land,11467
gen,10564
haus,10354
frage,9955
teil,9676
volk,9621
immer,9574
zwei,9494
halten,9393
sehen,9300
bleiben,9294
dürfen,9237
ten,9139
stellen,9106
bringen,9086
dur,9050
hoch,9026
grund,8917
sofort,8800
schon,8784
führen,8773
eigen,8671
sagen,8531
beide,8485
art,8427
eie,8344
ung,8325
gestern,8254
klein,8162
liegen,8158
arbeit,8095
erhalten,8070
recht,8020
her,8014
arbeiter,8008
früh,8004
reich,7974
dame,7841
wissen,7824
preis,7796
staat,7731
ben,7672
pct,7650
april,7550
lich,7549
leben,7486
bereits,7422
lang,7418
bes,7308
erklären,7241
frieden,7239
frei,7196
men,7172
seit,7121
zimmer,7115
dei,7115
stadt,7072
hand,7020
wegen,6944
treten,6924
wort,6807
jung,6781
nen,6758
politisch,6746
märz,6731
lage,6718
voll,6676
per,6666
partei,6636
gleich,6630
kind,6618
englisch,6577
and,6500
dar,6477
schwer,6416
verlangen,6416
drei,6412
wert,6358
wien,6305
ent,6251
theater,6247
jehen,6228
sowie,6224
melden,6154
seite,6101
ven,6096
wohl,6086
oktober,6077
mai,6064
darauf,6019
bank,6009
tun,5999
folgend,5974
see,5969
august,5943
allgemein,5922
gebiet,5921
dor,5897
stellung,5879
stark,5859
kraft,5827
statt,5823
fall,5817
stelle,5785
erst,5712
feind,5684
sprechen,5674
werk,5646
verkaufen,5545
vertreter,5514
etwa,5471
zeigen,5400
noh,5385
det,5383
bestehen,5382
fen,5361
mill,5357
wit,5339
vieler,5322
eit,5311
bie,5299
truppe,5260
meldung,5250
unt,5229
ende,5209
welt,5203
wen,5200
fest,5135
million,5125
kurz,5118
england,5072
blatt,5056
antrag,5047
mitglied,5028
hen,5027
kaufen,5023
eins,4992
kampf,4990
januar,4984
nah,4972
durc,4972
spät,4969
morgen,4953
amt,4934
dee,4930
dezember,4911
tragen,4909
firma,4902
einzeln,4865
sch,4855
erfolgen,4835
gesellschaft,4790
kreis,4775
verhandlung,4772
zweiter,4747
abend,4741
angebot,4720
besonders,4700
umd,4688
ste,4666
aktie,4659
französisch,4633
november,4624
monat,4602
mal,4550
bien,4545
gee,4540
deutsche,4535
februar,4524
weise,4497
woche,4495
name,4486
ferner,4462
minister,4438
betrieb,4431
rußland,4427
eng,4398
möglich,4394
eben,4361
abg,4308
rede,4307
september,4286
nie,4272
ernst,4260
sonntag,4251
mittel,4241
charlottenburg,4236
richten,4233
annehmen,4215
forderung,4205
fallen,4174
bekannt,4150
gar,4142
vie,4140
kaufmann,4139
bisher,4127
wahl,4120
abends,4114
bee,4109
abteilung,4109
vier,4106
handeln,4105
dos,4098
interesse,4067
hören,4062
weniger,4044
ene,4035
bericht,4025
erscheinen,4013
auge,3994
gegenüber,3990
fei,3989
eich,3956
form,3948
nihen,3924
ter,3900
erfahren,3900
besonderer,3887
politik,3846
versammlung,3838
frankreich,3826
beamter,3809
russisch,3806
fast,3805
wohnung,3790
beginnen,3773
mehrere,3764
ien,3756
ziehen,3755
dienst,3750
mögen,3745
ueber,3726
treffen,3709
hie,3706
fordern,3700
max,3699
erfolg,3687
allein,3681
ifen,3680
bild,3662
general,3660
eis,3659
bitten,3658
stunde,3650
mensch,3640
übrig,3626
ern,3625
scheinen,3618
mer,3615
legen,3615
band,3611
drahtmeldung,3603
nee,3596
gewiß,3590
folgen,3581
schließen,3576
rat,3576
mie,3556
paul,3531
sir,3522
geld,3522
gerade,3517
ehe,3512
auc,3495
glauben,3495
bilden,3494
bertin,3485
juli,3484
wenden,3440
nächster,3434
handel,3422
paris,3420
graf,3419
off,3401
ren,3381
dabei,3378
angriff,3367
ind,3352
verhältnis,3344
person,3343
heißen,3343
karte,3342
dan,3336
ges,3321
ner,3315
geschäft,3298
linie,3292
zug,3287
außer,3280
foll,3279
weisen,3279
gelten,3268
infolge,3268
auß,3260
ebenso,3252
sache,3244
wirtschaftlich,3240
don,3240
folge,3240
dafür,3239
völlig,3234
bet,3221
juni,3219
angabe,3212
modern,3207
ober,3203
zahl,3192
fahren,3172
davon,3169
feindlich,3162
denken,3162
möbel,3162
stimme,3155
schaffen,3135
wilson,3133
heben,3133
schreiben,3131
montag,3129
ware,3128
sic,3125
offerte,3121
str,3119
wenig,3119
bald,3115
rein,3110
wichtig,3100
darüber,3093
präsident,3090
vormittags,3080
ger,3077
kaiser,3069
bel,3068
fort,3056
militärisch,3054
ding,3051
schön,3048
iee,3048
verschieden,3046
fee,3039
iet,3030
gehören,3025
mädchen,3024
jedoch,3024
jen,3023
beilage,3009
amtlich,3008
täglich,3003
verein,3003
daher,3003
bieten,3003
