Lemma_lower,count
aaa,47
aachen,15
aachener,6
aal,35
aaland,11
aalandsinsel,15
aan,613
aar,64
aas,61
aba,29
abbau,42
abbe,5
abbruch,10
abdankung,53
abdk,5
abds,98
abe,1096
abel,13
aben,326
abend,4095
abendk,17
abendländisch,5
abends,3353
abermals,7
abf,5
abfahrt,19
abg,3771
abgabe,304
abgabepflichtig,5
abge,35
abgeben,1174
abgegeben,5
abgehalten,5
abgelaufen,6
abgeord,5
abgeordnetenhaus,84
abgeordneter,1217
abhalten,22
abhängen,5
abhängig,25
abhängigkeit,5
abi,6
abiturient,27
abkehr,5
abkommen,196
ablauf,23
ablehnen,811
ablehnung,68
abliefern,12
ablieferung,35
abmachung,15
abmarsch,5
abonnent,6
abordnung,81
abrechnung,11
abreise,32
abs,5
absatz,5
absaß,23
abschaffung,6
abschied,10
abschlagen,5
abschließen,55
abschluß,235
abschn,5
abschnitt,600
abschreibung,420
abschrift,6
absehen,74
absender,6
absicht,522
absolut,30
absperrung,10
abstand,5
abstimmung,366
abstimmungsgebiet,5
abt,62
abteil,37
abteilung,3564
abtrage,8
abtransport,29
abtrennung,5
abtretung,15
abwehr,7
abweisen,91
abzahlung,6
abzeichen,5
abziehen,6
abzu,5
abzug,68
abzugsfähig,11
abzüglich,5
abänderung,58
ach,312
acht,246
achten,12
achter,7
achtung,27
action,6
ada,6
adalbert,5
adam,10
ade,522
adel,16
adelheid,5
adelina,7
aden,10
ader,78
adi,6
adler,29
adlerorde,5
adlon,13
admiral,134
admiralität,16
adolf,264
adoption,6
ador,8
adresse,15
adria,6
aeberhard,7
aeg,136
aeh,20
aei,10
aein,21
aemter,11
aen,611
aenderung,186
aepfel,12
aer,1090
aerzt,100
aerzte,11
aerztekammer,5
aet,210
aeußer,83
aeußerung,46
affäre,6
afghanisch,9
afghanistan,26
afrika,53
afrikanisch,7
aft,728
age,208
agen,53
agent,67
agitation,31
agnes,172
agram,12
ahn,21
ahr,55
ahrends,5
aht,11
aich,1908
aid,21
ailette,6
aim,11
ain,1826
aind,1419
air,29
aires,6
ais,1236
aisne,150
ait,752
akademie,59
akademiker,17
akademisch,11
akrolein,9
akt,147
akte,256
aktie,4148
aktiengesell,5
aktiengesellschaft,70
aktienkapital,284
aktion,312
aktionsausschuß,12
aktionär,827
aktiv,18
akzept,5
ala,41
aland,18
alandsinsel,6
alarmierung,6
alb,7
albanien,10
albat,16
albert,591
alch,48
aldo,65
ale,217
alen,10
aleppo,6
alex,15
alexander,68
alexanderplatz,6
alexandra,5
alexandre,6
alexejew,8
alfo,36
alfred,342
alfredo,5
ali,33
alice,5
alkohol,23
all,1717
alldeutsch,46
alldeutsche,5
allee,449
allein,2812
alleinig,47
allenstein,6
allensteiner,5
allerdings,481
allerlei,5
allezeit,5
allg,6
allgem,8
allgemein,5567
allgemeinheit,18
allianz,5
alliiert,38
alliierter,1346
allmählich,39
allrussisch,14
alls,624
allzu,56
alma,13
almereyda,8
almereydas,9
aloh,5
alpen,10
alpine,11
alsbald,5
alsdann,12
alt,14792
alte,67
alter,863
altersheim,5
altersjahr,5
alterspräsident,5
altertum,14
altmann,5
altona,17
aluminium,5
alwine,5
aman,5
ambulatorie,5
amd,207
ame,182
amen,126
american,185
amerika,1931
amerikaner,136
amerikanisch,1529
amet,5
amiens,48
amigny,5
amm,55
amn,17
amnestie,11
ams,5
amsterdam,61
amt,4356
amtlich,2150
amtogericht,6
amtsgericht,1163
amtsvorsteher,6
ana,16
anatom,10
anbau,6
anberaumen,5
anbieten,62
anch,177
and,6136
andauernd,12
anden,15
andenken,114
andererseits,15
andrang,5
andrassy,34
andrassys,5
andreae,10
andreas,44
ane,707
anekdote,8
anen,81
aner,27
anerkennen,303
anerkennung,72
anf,786
anfang,1332
anfangen,10
anfangs,7
anfertigung,5
anforderung,7
anfr,5
anfrage,636
ang,1806
angabe,2493
ange,160
angeb,177
angeben,40
angeblich,163
angebot,4282
angehen,6
angehören,16
angehörige,160
angekl,24
angeklagter,692
angel,6
angelegenheit,552
angeles,45
angelika,5
angelsächsisch,7
angemeldet,6
angemessen,26
angenehm,22
angermünde,5
angesichts,43
angestelltenausschuß,13
angestellter,1560
angewiesen,6
angliederung,5
angreifen,15
angriff,2542
angst,25
angust,20
anh,20
anhalten,5
anhalter,15
anhaltisch,5
anhänger,47
ani,11
anilinwerk,5
anit,5
ankauf,65
anklage,101
anklagen,5
anklageschrift,6
ankommen,5
anl,41
anlage,375
anlauf,6
anlaß,123
anlegen,25
anleihe,658
anm,5
anmelden,25
anmeldung,226
ann,929
anna,350
annahme,1052
anne,5
annehmen,3541
annexion,5
annäherung,5
anode,10
anordnen,6
anordnung,87
anregen,7
anregung,37
anruf,5
ans,36
anschaffung,9
anschauung,5
anschein,5
anscheinend,5
anschl,6
anschlag,5
anschließen,10
anschließend,8
anschluß,307
ansehen,200
anselm,6
ansicht,510
ansprache,57
anspruch,602
ansprüch,5
anstalt,156
anstatt,5
anstellung,17
ant,1841
anteil,109
antik,61
antisemitisch,5
anton,16
antonia,5
antrag,4436
antrage,6
antreten,5
antrieb,11
antritt,565
antwerpe,7
antwort,1721
antworten,172
anwalt,41
anwaltschaft,10
anweisung,21
anwenden,20
anwendung,56
anwesend,15
anwesenheit,7
anwärter,14
anz,64
anzahl,613
anzahlung,90
anzeige,1631
anzeigen,10
anzeigepflicht,8
anzug,131
aol,5
aon,6
ape,91
apfel,7
apostel,5
apotheke,13
apparat,94
appel,5
appell,5
appellieren,10
apr,6
apri,17
aprik,5
april,6872
aprit,44
apt,16
araber,9
arabisch,8
arbeet,6
arbei,15
arbeit,7797
arbeiten,1896
arbeitend,53
arbeiter,7660
arbeiterin,383
arbeiterklasse,6
arbeiterminister,5
arbeiterpartei,9
arbeiterrat,354
arbeiterschaft,388
arbeitgeber,265
arbeitnehmer,149
arbeitnehmerschaft,7
arbeits,26
arbeitsbüro,5
arbeitsgemeinschaft,11
arbeitskammer,29
arbeitsleistung,5
arbeitslose,10
arbeitslosigkeit,6
arbeitsmittel,6
arbeitszeit,16
archangel,6
archangelsk,18
architekt,12
archiv,6
ard,36
ardaschew,5
ardo,17
are,430
arenberg,14
arg,6
argentinien,19
argentinisch,11
argonne,5
ari,5
arie,43
arion,5
ark,11
arl,5
arlay,76
arm,887
armand,20
armbind,6
armee,1183
armeekorps,43
armenien,5
armenier,5
armenpfleg,5
armentidr,10
armentieres,6
armin,5
arminia,17
arndt,13
arnold,20
aron,23
arota,11
aroß,16
arpad,9
arra,14
arras,5
arrest,20
ars,5
art,8111
arthur,140
artikel,1536
artillerie,126
artilleriefeuer,16
artur,10
arz,7
arzneimittel,6
arzt,413
arztwahl,5
aschaffenburg,6
asche,15
asiago,5
asquith,39
assistent,11
assoziiern,5
assoziiert,69
assoziierten,12
ast,20
atatt,10
ate,289
aten,15
athen,14
athlet,6
ati,5
ats,5
att,68
attach,5
attentat,45
attentäter,5
aua,6
aub,5
auc,2592
auchen,18
aud,761
aude,5
aue,1059
auen,828
auer,128
auerbach,6
auergegellschaft,5
aufbau,32
aufbauen,27
aufbringen,10
aufbringung,5
aufe,11
aufen,67
aufenthalt,249
aufenthaltsort,5
auferlegen,22
auff,5
auffassung,395
auffichtsrat,5
auffordern,53
aufforderung,33
aufführung,67
aufgabe,1946
aufge,5
aufgeben,18
aufhalten,23
aufheben,199
aufhebung,228
aufklärung,25
aufl,5
auflage,23
auflösen,138
auflösung,105
aufmarsch,7
aufnahme,264
aufnaht,11
aufnehmen,831
aufrecht,68
aufrechterhalten,5
aufrichtig,16
aufruf,314
aufrufen,5
aufruhr,16
aufsaß,5
aufsicht,5
aufsichtsrat,179
aufstand,17
aufstehen,7
aufstellen,48
aufstellung,26
auftrag,467
auftreten,83
aug,212
auge,3271
augenbli,314
augenblick,6
augsburg,21
augsburger,5
augus,5
august,5151
augusta,5
auguste,5
auh,536
aui,10
auktion,19
aul,36
aula,6
aum,274
aun,306
auoh,5
aur,339
aurelie,8
ausbau,16
ausbauen,13
ausbildung,62
ausbreitung,5
ausdehnen,5
ausdehnung,5
ausdru,66
ausdruck,5
ausf,5
ausficht,10
ausfuhr,219
ausführen,209
ausführend,16
ausführlich,248
ausführung,1800
ausg,10
ausgabe,641
ausgabs,5
ausgang,5
ausge,5
ausgeben,58
ausgebildet,5
ausgelost,24
ausgleich,26
auskunft,504
ausland,556
auslande,61
auslandsdienst,5
auslegung,5
auslieferung,62
auslosung,15
ausländer,11
ausländisch,121
ausnahme,77
ausreichend,13
ausrufen,12
ausrufung,5
ausrüstung,6
aussage,5
ausschl,8
ausschließen,15
ausschließlich,5
ausschuß,1087
aussicht,276
aussprache,127
aussprechen,50
ausstand,61
ausstattung,5
ausstellen,10
aussteller,11
ausstellung,130
aust,5
austausch,27
australien,22
australisch,5
auswahl,728
ausweis,13
ausweise,6
auswärtig,710
auszahlung,5
ausüben,10
ausübung,11
aut,1779
auto,166
automobil,20
autonomie,27
autorität,20
auß,2281
außen,62
außenpolitik,16
außenpolitisch,6
außer,2374
außerdem,1050
außereuropäisch,5
außerhalb,76
außerordentlich,710
aval,5
avanti,5
avg,10
avre,66
axelrod,5
aße,10
aßmann,5
baal,5
bab,5
baben,71
bach,163
bad,1610
baden,185
bader,10
badisch,38
bae,44
baen,5
baer,5
bag,26
bah,6
bahn,1496
bahnhof,1409
bahnsteig,5
bahr,7
bai,133
baier,5
bailleul,19
bain,5
baku,25
bal,142
bald,2162
baldig,491
balfour,93
balfours,12
balg,9
balkan,10
balkon,11
ball,22
ballett,12
ballin,5
ballon,6
balogh,5
baltikum,87
baltisch,44
bam,5
bamberg,36
ban,661
band,2919
bande,111
banderole,5
bane,6
bang,5
bank,5572
bankbeamt,7
bankdepot,7
bankdirektor,6
bankfirm,11
bankgebäude,6
bankgeschäft,5
bankgewerbe,5
bankguthaben,11
bankhaus,28
bankhause,36
bankhauss,6
bankier,31
bankleitung,27
banknot,5
bankverein,63
bann,38
bannwart,5
bap,5
bapaume,56
bar,2055
baracke,5
baranyay,7
barbier,7
barcelona,5
barlin,5
baro,6
baron,102
baronesse,6
baronin,53
bart,29
barth,101
barthold,7
barthou,15
bary,6
barzahlung,5
bas,1431
base,6
basel,15
basis,28
bastseide,5
bat,103
batist,92
batocki,6
batt,5
batterie,19
batum,11
bau,797
bauberatung,7
bauen,131
bauer,450
bauernbund,10
baum,98
baumwolle,41
baumwollen,18
baurat,23
baustoff,7
baut,7
bauwesen,6
bayer,21
bayerisch,431
bayern,363
bayrisch,6
bazar,8
baß,70
bde,10
bds,23
bea,53
beabsichtigen,112
beamtenbund,5
beamtenschaft,24
beamter,2980
beamtin,5
beamtinn,5
bean,26
beanspruchen,5
beantragen,290
beantworten,14
beantwortung,12
bearbeiten,5
bearbeitung,5
beat,21
beatty,9
beauftragen,6
bebe,12
beben,77
bebra,5
becher,7
bechsteinsaal,12
becker,10
bed,90
bedarf,168
bedauern,37
bede,5
beden,5
bedenken,227
bedeuten,822
bedeutend,336
bedeutung,675
bedienung,5
bedin,5
bedingung,2123
bedrohen,5
bedroht,10
bedrohung,5
bedrucken,23
bedruckt,25
bedürfen,109
bedürfnis,15
bee,3487
beehren,5
beein,26
beeinflussen,5
been,306
beenden,96
beendigung,6
beer,68
beerdigung,67
beet,27
beethove,97
beethovensaal,19
befehl,251
befinden,1627
befindlich,95
befreien,27
befreiung,20
befriedigend,5
befördern,23
beförderung,10
befürchtung,5
beg,99
begabt,6
begeben,134
begegnen,19
begegnung,5
begehen,38
beginn,813
beginnen,2928
beginnend,13
begleiten,10
begleiter,12
begonder,11
begreifen,15
begriff,33
begrün,5
begründen,121
begründet,10
begründung,66
begrüßen,141
beh,93
behaglich,21
behalten,91
behandeln,199
behandelnd,7
behandlung,235
behaupten,517
behauptung,149
beherrschen,6
behm,5
behr,5
behrend,6
behrens,5
behörde,1019
behördlich,10
beibehaltung,10
beide,8236
beiderseit,6
beiderseitig,10
beier,5
beifall,1729
beifügung,5
beig,20
beihilfe,37
beil,25
beilage,2092
beilegen,5
bein,1996
beinahe,16
beirat,35
beis,10
beispiel,102
beit,1751
beitrag,25
beitragen,15
bek,5
bekannt,3458
bekanntgeben,5
bekanntlich,5
bekanntmachung,991
bekommen,308
bekunden,11
bekämpfen,5
bekämpfung,20
bel,2247
bela,11
belagerung,5
belagerungszustand,22
